canonical,brand_id,mode,date,period,value,is_partial
THE KLINIQ,the_kliniq,single_index,2021-12-26,"Dec 26, 2021 – Jan 1, 2022",23.0,False
THE KLINIQ,the_kliniq,single_index,2022-01-02,"Jan 2 – 8, 2022",25.0,False
THE KLINIQ,the_kliniq,single_index,2022-01-09,"Jan 9 – 15, 2022",22.0,False
THE KLINIQ,the_kliniq,single_index,2022-01-16,"Jan 16 – 22, 2022",20.0,False
THE KLINIQ,the_kliniq,single_index,2022-01-23,"Jan 23 – 29, 2022",17.0,False
THE KLINIQ,the_kliniq,single_index,2022-01-30,"Jan 30 – Feb 5, 2022",18.0,False
THE KLINIQ,the_kliniq,single_index,2022-02-06,"Feb 6 – 12, 2022",20.0,False
THE KLINIQ,the_kliniq,single_index,2022-02-13,"Feb 13 – 19, 2022",20.0,False
THE KLINIQ,the_kliniq,single_index,2022-02-20,"Feb 20 – 26, 2022",16.0,False
THE KLINIQ,the_kliniq,single_index,2022-02-27,"Feb 27 – Mar 5, 2022",18.0,False
THE KLINIQ,the_kliniq,single_index,2022-03-06,"Mar 6 – 12, 2022",22.0,False
THE KLINIQ,the_kliniq,single_index,2022-03-13,"Mar 13 – 19, 2022",22.0,False
THE KLINIQ,the_kliniq,single_index,2022-03-20,"Mar 20 – 26, 2022",27.0,False
THE KLINIQ,the_kliniq,single_index,2022-03-27,"Mar 27 – Apr 2, 2022",25.0,False
THE KLINIQ,the_kliniq,single_index,2022-04-03,"Apr 3 – 9, 2022",32.0,False
THE KLINIQ,the_kliniq,single_index,2022-04-10,"Apr 10 – 16, 2022",29.0,False
THE KLINIQ,the_kliniq,single_index,2022-04-17,"Apr 17 – 23, 2022",27.0,False
THE KLINIQ,the_kliniq,single_index,2022-04-24,"Apr 24 – 30, 2022",27.0,False
THE KLINIQ,the_kliniq,single_index,2022-05-01,"May 1 – 7, 2022",27.0,False
THE KLINIQ,the_kliniq,single_index,2022-05-08,"May 8 – 14, 2022",25.0,False
THE KLINIQ,the_kliniq,single_index,2022-05-15,"May 15 – 21, 2022",25.0,False
THE KLINIQ,the_kliniq,single_index,2022-05-22,"May 22 – 28, 2022",25.0,False
THE KLINIQ,the_kliniq,single_index,2022-05-29,"May 29 – Jun 4, 2022",29.0,False
THE KLINIQ,the_kliniq,single_index,2022-06-05,"Jun 5 – 11, 2022",29.0,False
THE KLINIQ,the_kliniq,single_index,2022-06-12,"Jun 12 – 18, 2022",22.0,False
THE KLINIQ,the_kliniq,single_index,2022-06-19,"Jun 19 – 25, 2022",27.0,False
THE KLINIQ,the_kliniq,single_index,2022-06-26,"Jun 26 – Jul 2, 2022",27.0,False
THE KLINIQ,the_kliniq,single_index,2022-07-03,"Jul 3 – 9, 2022",24.0,False
THE KLINIQ,the_kliniq,single_index,2022-07-10,"Jul 10 – 16, 2022",23.0,False
THE KLINIQ,the_kliniq,single_index,2022-07-17,"Jul 17 – 23, 2022",27.0,False
THE KLINIQ,the_kliniq,single_index,2022-07-24,"Jul 24 – 30, 2022",29.0,False
THE KLINIQ,the_kliniq,single_index,2022-07-31,"Jul 31 – Aug 6, 2022",24.0,False
THE KLINIQ,the_kliniq,single_index,2022-08-07,"Aug 7 – 13, 2022",25.0,False
THE KLINIQ,the_kliniq,single_index,2022-08-14,"Aug 14 – 20, 2022",23.0,False
THE KLINIQ,the_kliniq,single_index,2022-08-21,"Aug 21 – 27, 2022",24.0,False
THE KLINIQ,the_kliniq,single_index,2022-08-28,"Aug 28 – Sep 3, 2022",22.0,False
THE KLINIQ,the_kliniq,single_index,2022-09-04,"Sep 4 – 10, 2022",23.0,False
THE KLINIQ,the_kliniq,single_index,2022-09-11,"Sep 11 – 17, 2022",23.0,False
THE KLINIQ,the_kliniq,single_index,2022-09-18,"Sep 18 – 24, 2022",22.0,False
THE KLINIQ,the_kliniq,single_index,2022-09-25,"Sep 25 – Oct 1, 2022",24.0,False
THE KLINIQ,the_kliniq,single_index,2022-10-02,"Oct 2 – 8, 2022",22.0,False
THE KLINIQ,the_kliniq,single_index,2022-10-09,"Oct 9 – 15, 2022",30.0,False
THE KLINIQ,the_kliniq,single_index,2022-10-16,"Oct 16 – 22, 2022",22.0,False
THE KLINIQ,the_kliniq,single_index,2022-10-23,"Oct 23 – 29, 2022",32.0,False
THE KLINIQ,the_kliniq,single_index,2022-10-30,"Oct 30 – Nov 5, 2022",26.0,False
THE KLINIQ,the_kliniq,single_index,2022-11-06,"Nov 6 – 12, 2022",26.0,False
THE KLINIQ,the_kliniq,single_index,2022-11-13,"Nov 13 – 19, 2022",30.0,False
THE KLINIQ,the_kliniq,single_index,2022-11-20,"Nov 20 – 26, 2022",20.0,False
THE KLINIQ,the_kliniq,single_index,2022-11-27,"Nov 27 – Dec 3, 2022",26.0,False
THE KLINIQ,the_kliniq,single_index,2022-12-04,"Dec 4 – 10, 2022",18.0,False
THE KLINIQ,the_kliniq,single_index,2022-12-11,"Dec 11 – 17, 2022",20.0,False
THE KLINIQ,the_kliniq,single_index,2022-12-18,"Dec 18 – 24, 2022",25.0,False
THE KLINIQ,the_kliniq,single_index,2022-12-25,"Dec 25 – 31, 2022",23.0,False
THE KLINIQ,the_kliniq,single_index,2023-01-01,"Jan 1 – 7, 2023",24.0,False
THE KLINIQ,the_kliniq,single_index,2023-01-08,"Jan 8 – 14, 2023",28.0,False
THE KLINIQ,the_kliniq,single_index,2023-01-15,"Jan 15 – 21, 2023",25.0,False
THE KLINIQ,the_kliniq,single_index,2023-01-22,"Jan 22 – 28, 2023",26.0,False
THE KLINIQ,the_kliniq,single_index,2023-01-29,"Jan 29 – Feb 4, 2023",19.0,False
THE KLINIQ,the_kliniq,single_index,2023-02-05,"Feb 5 – 11, 2023",25.0,False
THE KLINIQ,the_kliniq,single_index,2023-02-12,"Feb 12 – 18, 2023",22.0,False
THE KLINIQ,the_kliniq,single_index,2023-02-19,"Feb 19 – 25, 2023",27.0,False
THE KLINIQ,the_kliniq,single_index,2023-02-26,"Feb 26 – Mar 4, 2023",24.0,False
THE KLINIQ,the_kliniq,single_index,2023-03-05,"Mar 5 – 11, 2023",24.0,False
THE KLINIQ,the_kliniq,single_index,2023-03-12,"Mar 12 – 18, 2023",22.0,False
THE KLINIQ,the_kliniq,single_index,2023-03-19,"Mar 19 – 25, 2023",27.0,False
THE KLINIQ,the_kliniq,single_index,2023-03-26,"Mar 26 – Apr 1, 2023",24.0,False
THE KLINIQ,the_kliniq,single_index,2023-04-02,"Apr 2 – 8, 2023",28.0,False
THE KLINIQ,the_kliniq,single_index,2023-04-09,"Apr 9 – 15, 2023",26.0,False
THE KLINIQ,the_kliniq,single_index,2023-04-16,"Apr 16 – 22, 2023",24.0,False
THE KLINIQ,the_kliniq,single_index,2023-04-23,"Apr 23 – 29, 2023",23.0,False
THE KLINIQ,the_kliniq,single_index,2023-04-30,"Apr 30 – May 6, 2023",22.0,False
THE KLINIQ,the_kliniq,single_index,2023-05-07,"May 7 – 13, 2023",29.0,False
THE KLINIQ,the_kliniq,single_index,2023-05-14,"May 14 – 20, 2023",22.0,False
THE KLINIQ,the_kliniq,single_index,2023-05-21,"May 21 – 27, 2023",24.0,False
THE KLINIQ,the_kliniq,single_index,2023-05-28,"May 28 – Jun 3, 2023",26.0,False
THE KLINIQ,the_kliniq,single_index,2023-06-04,"Jun 4 – 10, 2023",26.0,False
THE KLINIQ,the_kliniq,single_index,2023-06-11,"Jun 11 – 17, 2023",23.0,False
THE KLINIQ,the_kliniq,single_index,2023-06-18,"Jun 18 – 24, 2023",27.0,False
THE KLINIQ,the_kliniq,single_index,2023-06-25,"Jun 25 – Jul 1, 2023",23.0,False
THE KLINIQ,the_kliniq,single_index,2023-07-02,"Jul 2 – 8, 2023",25.0,False
THE KLINIQ,the_kliniq,single_index,2023-07-09,"Jul 9 – 15, 2023",25.0,False
THE KLINIQ,the_kliniq,single_index,2023-07-16,"Jul 16 – 22, 2023",27.0,False
THE KLINIQ,the_kliniq,single_index,2023-07-23,"Jul 23 – 29, 2023",24.0,False
THE KLINIQ,the_kliniq,single_index,2023-07-30,"Jul 30 – Aug 5, 2023",24.0,False
THE KLINIQ,the_kliniq,single_index,2023-08-06,"Aug 6 – 12, 2023",23.0,False
THE KLINIQ,the_kliniq,single_index,2023-08-13,"Aug 13 – 19, 2023",21.0,False
THE KLINIQ,the_kliniq,single_index,2023-08-20,"Aug 20 – 26, 2023",21.0,False
THE KLINIQ,the_kliniq,single_index,2023-08-27,"Aug 27 – Sep 2, 2023",26.0,False
THE KLINIQ,the_kliniq,single_index,2023-09-03,"Sep 3 – 9, 2023",24.0,False
THE KLINIQ,the_kliniq,single_index,2023-09-10,"Sep 10 – 16, 2023",23.0,False
THE KLINIQ,the_kliniq,single_index,2023-09-17,"Sep 17 – 23, 2023",25.0,False
THE KLINIQ,the_kliniq,single_index,2023-09-24,"Sep 24 – 30, 2023",26.0,False
THE KLINIQ,the_kliniq,single_index,2023-10-01,"Oct 1 – 7, 2023",24.0,False
THE KLINIQ,the_kliniq,single_index,2023-10-08,"Oct 8 – 14, 2023",28.0,False
THE KLINIQ,the_kliniq,single_index,2023-10-15,"Oct 15 – 21, 2023",28.0,False
THE KLINIQ,the_kliniq,single_index,2023-10-22,"Oct 22 – 28, 2023",25.0,False
THE KLINIQ,the_kliniq,single_index,2023-10-29,"Oct 29 – Nov 4, 2023",22.0,False
THE KLINIQ,the_kliniq,single_index,2023-11-05,"Nov 5 – 11, 2023",24.0,False
THE KLINIQ,the_kliniq,single_index,2023-11-12,"Nov 12 – 18, 2023",21.0,False
THE KLINIQ,the_kliniq,single_index,2023-11-19,"Nov 19 – 25, 2023",28.0,False
THE KLINIQ,the_kliniq,single_index,2023-11-26,"Nov 26 – Dec 2, 2023",28.0,False
THE KLINIQ,the_kliniq,single_index,2023-12-03,"Dec 3 – 9, 2023",23.0,False
THE KLINIQ,the_kliniq,single_index,2023-12-10,"Dec 10 – 16, 2023",26.0,False
THE KLINIQ,the_kliniq,single_index,2023-12-17,"Dec 17 – 23, 2023",23.0,False
THE KLINIQ,the_kliniq,single_index,2023-12-24,"Dec 24 – 30, 2023",26.0,False
